,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,491.76,393.41,457.34,40791.49
1,Bank of America,266.45,213.16,247.8,22102.03
2,Industrial and Commercial Bank of China,219.45,175.56,204.09,18203.38
3,Wells Fargo,178.74,142.99,166.23,14826.48
4,Agricultural Bank of China,175.69,140.55,163.39,14573.49
5,HDFC Bank,169.84,135.87,157.95,14088.23
6,HSBC Holdings PLC,156.13,124.9,145.2,12950.98
7,Morgan Stanley,153.05,122.44,142.34,12695.5
8,China Construction Bank,151.97,121.58,141.33,12605.91
9,Bank of China,150.39,120.31,139.86,12474.85
